stationId;name;type;status;latitude;longitude;created;operationFrom;operationTo;validFrom;validTo
22058;Randers Havn I;Tide-gauge-primary;Active;56,4569;10,0396;2020-11-18 08:17:57.055;2011-12-28 00:00:00;n/a;2011-12-28 00:00:00.000;n/a
22059;Randers Havn II;Tide-gauge-secondary;Active;56,4569;10,0396;2020-11-18 08:17:57.055;2011-12-28 00:00:00;n/a;2011-12-28 00:00:00.000;n/a
22121;Grenå Havn I;Tide-gauge-primary;Active;56,4121;10,922;2020-11-18 08:17:57.055;2012-01-01 00:00:00;n/a;2012-01-01 00:00:00.000;n/a
22122;Grenå Havn II;Tide-gauge-secondary;Active;56,4121;10,922;2020-11-18 08:17:57.055;2014-04-15 00:00:00;n/a;2014-04-15 00:00:00.000;n/a
22331;Århus Havn I;Tide-gauge-primary;Active;56,1466;10,2226;2020-11-18 08:17:57.055;1992-07-30 00:00:00;n/a;1992-07-30 00:00:00.000;n/a
22332;Århus Havn;Tide-gauge-primary;Active;56,1693;10,2236;2020-11-18 08:17:57.055;1970-03-11 00:00:00;1992-08-01 00:00:00;1970-03-11 00:00:00.000;1992-08-01 00:00:00.000
22332;Århus Havn;Tide-gauge-primary;Inactive;56,1693;10,2236;2020-11-18 08:17:57.055;1970-03-11 00:00:00;1992-08-01 00:00:00;1992-08-01 00:00:00.000;n/a
22333;Århus Havn II;Tide-gauge-secondary;Active;56,1466;10,2226;2020-11-18 08:17:57.055;2014-04-08 00:00:00;n/a;2014-04-08 00:00:00.000;n/a
22598;Hov Havn I;Tide-gauge-primary;Active;55,9121;10,2589;2020-11-18 08:17:57.055;2011-12-28 00:00:00;n/a;2011-12-28 00:00:00.000;n/a
22599;Hov Havn II;Tide-gauge-secondary;Active;55,9121;10,2589;2020-11-18 08:17:57.055;2011-12-28 00:00:00;n/a;2011-12-28 00:00:00.000;n/a
